"month","day","day_of_year","weekday_status","hour","load"
2,7,38,1,11,24
2,7,38,1,12,24
2,7,38,1,13,24
2,7,38,1,14,24
2,7,38,1,15,24
2,7,38,1,16,0
2,7,38,1,17,0
2,7,38,1,18,0
2,7,38,1,19,24
2,7,38,1,20,24
2,7,38,1,21,24
2,7,38,1,22,24
2,7,38,1,23,24
2,8,39,1,0,24
2,8,39,1,1,24
2,8,39,1,2,24
2,8,39,1,3,24
2,8,39,1,4,0
2,8,39,1,5,0
2,8,39,1,6,0
2,8,39,1,7,0
2,8,39,1,8,0
2,8,39,1,9,0
2,8,39,1,10,24
2,8,39,1,11,24
2,8,39,1,12,24
2,8,39,1,13,24
2,8,39,1,14,24
2,8,39,1,15,24
2,8,39,1,16,0
2,8,39,1,17,0
2,8,39,1,18,0
2,8,39,1,19,24
2,8,39,1,20,24
2,8,39,1,21,24
2,8,39,1,22,24
2,8,39,1,23,24
2,9,40,0,0,24
2,9,40,0,1,24
2,9,40,0,2,24
2,9,40,0,3,24
2,9,40,0,4,0
2,9,40,0,5,0
2,9,40,0,6,0
2,9,40,0,7,0
2,9,40,0,8,0
2,9,40,0,9,0
2,9,40,0,10,24
2,9,40,0,11,24
2,9,40,0,12,24
2,9,40,0,13,24
2,9,40,0,14,24
2,9,40,0,15,24
2,9,40,0,16,0
2,9,40,0,17,0
2,9,40,0,18,0
2,9,40,0,19,24
2,9,40,0,20,24
2,9,40,0,21,24
2,9,40,0,22,24
2,9,40,0,23,24
2,10,41,0,0,24
2,10,41,0,1,24
2,10,41,0,2,24
2,10,41,0,3,24
2,10,41,0,4,0
2,10,41,0,5,0
2,10,41,0,6,0
2,10,41,0,7,0
2,10,41,0,8,0
2,10,41,0,9,0
2,10,41,0,10,24
2,10,41,0,11,24
2,10,41,0,12,24
2,10,41,0,13,24
2,10,41,0,14,24
2,10,41,0,15,24
2,10,41,0,16,0
2,10,41,0,17,0
2,10,41,0,18,0
2,10,41,0,19,24
2,10,41,0,20,24
2,10,41,0,21,24
2,10,41,0,22,24
2,10,41,0,23,24
2,11,42,1,0,24
2,11,42,1,1,24
2,11,42,1,2,24
2,11,42,1,3,24
2,11,42,1,4,0
2,11,42,1,5,0
2,11,42,1,6,0
2,11,42,1,7,0
2,11,42,1,8,0
2,11,42,1,9,0
2,11,42,1,10,24
2,11,42,1,11,24
2,11,42,1,12,24
2,11,42,1,13,24
2,11,42,1,14,24
2,11,42,1,15,24
2,11,42,1,16,0
2,11,42,1,17,0
2,11,42,1,18,0
2,11,42,1,19,24
2,11,42,1,20,24
2,11,42,1,21,24
2,11,42,1,22,24
2,11,42,1,23,24
2,12,43,1,0,24
2,12,43,1,1,24
2,12,43,1,2,24
2,12,43,1,3,24
2,12,43,1,4,0
2,12,43,1,5,0
2,12,43,1,6,0
2,12,43,1,7,0
2,12,43,1,8,0
2,12,43,1,9,0
2,12,43,1,10,24
2,12,43,1,11,24
2,12,43,1,12,24
2,12,43,1,13,24
2,12,43,1,14,24
2,12,43,1,15,24
2,12,43,1,16,0
2,12,43,1,17,0
2,12,43,1,18,0
2,12,43,1,19,24
2,12,43,1,20,24
2,12,43,1,21,24
2,12,43,1,22,24
2,12,43,1,23,24
2,13,44,1,0,24
2,13,44,1,1,24
2,13,44,1,2,24
2,13,44,1,3,24
2,13,44,1,4,0
2,13,44,1,5,0
2,13,44,1,6,0
2,13,44,1,7,0
2,13,44,1,8,0
2,13,44,1,9,0
2,13,44,1,10,24
2,13,44,1,11,24
2,13,44,1,12,24
2,13,44,1,13,24
2,13,44,1,14,24
2,13,44,1,15,24
2,13,44,1,16,0
2,13,44,1,17,0
2,13,44,1,18,0
2,13,44,1,19,24
2,13,44,1,20,24
2,13,44,1,21,24
2,13,44,1,22,24
2,13,44,1,23,24
2,14,45,1,0,24
2,14,45,1,1,24
2,14,45,1,2,24
2,14,45,1,3,24
2,14,45,1,4,0
2,14,45,1,5,0
2,14,45,1,6,0
2,14,45,1,7,0
2,14,45,1,8,0
2,14,45,1,9,0
2,14,45,1,10,24
2,14,45,1,11,24
2,14,45,1,12,24
2,14,45,1,13,24
2,14,45,1,14,24
2,14,45,1,15,24
2,14,45,1,16,0
2,14,45,1,17,0
2,14,45,1,18,0
2,14,45,1,19,24
2,14,45,1,20,24
2,14,45,1,21,24
2,14,45,1,22,24
2,14,45,1,23,24
2,15,46,1,0,24
2,15,46,1,1,24
2,15,46,1,2,24
2,15,46,1,3,24
2,15,46,1,4,0
2,15,46,1,5,0
2,15,46,1,6,0
2,15,46,1,7,0
2,15,46,1,8,0
2,15,46,1,9,0
2,15,46,1,10,24
2,15,46,1,11,24
2,15,46,1,12,24
2,15,46,1,13,24
2,15,46,1,14,24
2,15,46,1,15,24
2,15,46,1,16,0
2,15,46,1,17,0
2,15,46,1,18,0
2,15,46,1,19,24
2,15,46,1,20,24
2,15,46,1,21,24
2,15,46,1,22,24
2,15,46,1,23,24
2,16,47,0,0,24
2,16,47,0,1,24
2,16,47,0,2,24
2,16,47,0,3,24
2,16,47,0,4,0
2,16,47,0,5,0
2,16,47,0,6,0
2,16,47,0,7,0
2,16,47,0,8,0
2,16,47,0,9,0
2,16,47,0,10,24
2,16,47,0,11,24
2,16,47,0,12,24
2,16,47,0,13,24
2,16,47,0,14,24
2,16,47,0,15,24
2,16,47,0,16,0
2,16,47,0,17,0
2,16,47,0,18,0
2,16,47,0,19,24
2,16,47,0,20,24
2,16,47,0,21,24
2,16,47,0,22,24
2,16,47,0,23,24
2,17,48,0,0,24
2,17,48,0,1,24
2,17,48,0,2,24
2,17,48,0,3,24
2,17,48,0,4,0
2,17,48,0,5,0
2,17,48,0,6,0
2,17,48,0,7,0
2,17,48,0,8,0
2,17,48,0,9,0
2,17,48,0,10,24
2,17,48,0,11,24
2,17,48,0,12,24
2,17,48,0,13,24
2,17,48,0,14,24
2,17,48,0,15,24
2,17,48,0,16,0
2,17,48,0,17,0
2,17,48,0,18,0
2,17,48,0,19,24
2,17,48,0,20,24
2,17,48,0,21,24
2,17,48,0,22,24
2,17,48,0,23,24
2,18,49,1,0,24
2,18,49,1,1,24
2,18,49,1,2,24
2,18,49,1,3,24
2,18,49,1,4,0
2,18,49,1,5,0
2,18,49,1,6,0
2,18,49,1,7,0
